Creation Date,Step Count
2023-11-18 21:34:24+03:00,229
2023-11-18 21:55:07+03:00,229
2023-11-18 22:05:08+03:00,195
2023-11-18 22:27:19+03:00,716
2023-11-18 22:29:00+03:00,955
2023-11-18 22:36:27+03:00,911
2023-11-18 22:38:47+03:00,907
2023-11-18 22:47:36+03:00,551
2023-11-19 00:04:29+03:00,102
2023-11-20 17:20:51+03:00,113
2023-11-20 20:33:27+03:00,110
2023-11-20 20:45:47+03:00,585
2023-11-20 20:46:08+03:00,573
2023-11-20 20:56:21+03:00,243
2023-11-20 20:57:15+03:00,168
2023-11-20 21:08:07+03:00,264
2023-11-20 21:17:33+03:00,742
2023-11-20 21:18:08+03:00,745
2023-11-20 21:27:48+03:00,414
2023-11-20 21:28:09+03:00,419
2023-11-20 23:07:17+03:00,305
2023-11-21 00:36:04+03:00,516
2023-11-21 00:37:48+03:00,646
2023-11-21 00:48:53+03:00,624
2023-11-21 00:53:16+03:00,895
2023-11-21 00:57:55+03:00,903
2023-11-21 01:02:51+03:00,861
2023-11-21 01:08:02+03:00,823
2023-11-21 01:12:55+03:00,691
2023-11-21 01:18:56+03:00,350
2023-11-21 13:13:04+03:00,556
2023-11-21 13:18:53+03:00,459
2023-11-21 13:35:24+03:00,149
2023-11-21 13:43:09+03:00,282
2023-11-21 13:45:25+03:00,186
2023-11-21 13:58:22+03:00,107
2023-11-21 13:58:22+03:00,110
2023-11-21 13:59:57+03:00,111
2023-11-21 14:02:44+03:00,964
2023-11-21 14:10:40+03:00,523
2023-11-21 14:14:08+03:00,357
2023-11-21 14:56:46+03:00,154
2023-11-21 14:59:05+03:00,152
2023-11-21 15:42:37+03:00,743
2023-11-21 15:42:46+03:00,805
2023-11-21 15:52:04+03:00,421
2023-11-21 15:53:44+03:00,396
2023-11-21 16:23:30+03:00,632
2023-11-21 16:26:28+03:00,867
2023-11-21 16:33:31+03:00,888
2023-11-21 16:35:54+03:00,938
2023-11-21 16:43:00+03:00,104
2023-11-21 16:43:32+03:00,778
2023-11-21 16:53:33+03:00,119
2023-11-22 01:24:55+03:00,102
2023-11-22 04:49:01+03:00,125
2023-11-22 09:24:20+03:00,101
2023-11-22 09:34:16+03:00,557
2023-11-22 09:40:29+03:00,558
2023-11-22 09:44:17+03:00,116
2023-11-22 09:51:26+03:00,100
2023-11-22 09:53:29+03:00,388
